Ticker,Date,Open,High,Low,Close,Volume
QAN,20140714,1.285,1.31,1.25,1.27,7917344
QAN,20140715,1.285,1.29,1.25,1.265,9028606
QAN,20140716,1.25,1.26,1.235,1.245,6051869
QAN,20140717,1.25,1.27,1.24,1.24,7279247
QAN,20140718,1.22,1.255,1.215,1.25,7339214
QAN,20140721,1.25,1.265,1.235,1.24,4176918
QAN,20140722,1.235,1.25,1.23,1.25,6573490
QAN,20140723,1.265,1.29,1.255,1.27,9771938
QAN,20140724,1.28,1.29,1.265,1.285,7487775
QAN,20140725,1.285,1.31,1.28,1.31,10487076
QAN,20140728,1.3,1.33,1.3,1.315,7265839
QAN,20140729,1.315,1.325,1.305,1.315,5193479
QAN,20140730,1.325,1.345,1.32,1.335,4836061
QAN,20140731,1.335,1.342,1.315,1.335,3200684
QAN,20140801,1.315,1.32,1.295,1.295,4509741
QAN,20140804,1.295,1.32,1.29,1.31,1887611
QAN,20140805,1.305,1.315,1.267,1.275,5239736
QAN,20140806,1.285,1.302,1.27,1.295,11759459
QAN,20140807,1.29,1.32,1.29,1.305,21162250
QAN,20140808,1.3,1.327,1.285,1.31,12935506
QAN,20140811,1.31,1.335,1.31,1.31,6013880
QAN,20140812,1.32,1.325,1.295,1.32,6784659
QAN,20140813,1.32,1.325,1.29,1.29,6041694
QAN,20140814,1.29,1.3,1.29,1.29,4385553
QAN,20140815,1.295,1.3,1.277,1.28,4264423
QAN,20140818,1.285,1.297,1.28,1.285,2164286
QAN,20140819,1.3,1.33,1.3,1.33,8274701
QAN,20140820,1.32,1.325,1.3,1.32,4145817
QAN,20140821,1.34,1.342,1.315,1.32,5132687
QAN,20140822,1.32,1.325,1.275,1.3,7195524
QAN,20140825,1.295,1.317,1.295,1.3,4826126
QAN,20140826,1.3,1.305,1.287,1.305,5179810
QAN,20140827,1.31,1.312,1.285,1.295,5862498
QAN,20140828,1.34,1.41,1.34,1.385,32255500
QAN,20140829,1.405,1.477,1.405,1.47,28589041
QAN,20140901,1.475,1.5,1.435,1.45,10210537
QAN,20140902,1.45,1.54,1.44,1.525,19940420
QAN,20140903,1.535,1.597,1.525,1.56,23258274
QAN,20140904,1.565,1.57,1.53,1.565,15453148
QAN,20140905,1.56,1.567,1.53,1.54,7982903
QAN,20140908,1.54,1.555,1.537,1.54,3835425
QAN,20140909,1.55,1.57,1.545,1.565,7374973
QAN,20140910,1.55,1.575,1.537,1.575,11638724
QAN,20140911,1.575,1.605,1.567,1.585,9194081
QAN,20140912,1.565,1.58,1.557,1.57,5625999
QAN,20140915,1.55,1.55,1.46,1.48,20181847
QAN,20140916,1.495,1.535,1.49,1.515,18740469
QAN,20140917,1.515,1.522,1.477,1.485,8435049
QAN,20140918,1.48,1.485,1.455,1.475,12463827
QAN,20140919,1.48,1.485,1.44,1.45,53651772
QAN,20140922,1.435,1.465,1.43,1.435,8304310
QAN,20140923,1.42,1.455,1.41,1.45,6765672
QAN,20140924,1.435,1.455,1.415,1.42,10240719
QAN,20140925,1.435,1.445,1.42,1.44,9916669
QAN,20140926,1.425,1.44,1.42,1.43,7451676
QAN,20140929,1.425,1.43,1.4,1.42,7126341
QAN,20140930,1.43,1.43,1.385,1.39,6074846
QAN,20141001,1.38,1.435,1.372,1.435,6780072
QAN,20141002,1.39,1.427,1.39,1.425,4342708
QAN,20141003,1.405,1.42,1.385,1.41,4375838
QAN,20141006,1.405,1.425,1.4,1.415,2778918
QAN,20141007,1.415,1.415,1.387,1.405,9621566
QAN,20141008,1.375,1.39,1.375,1.375,9774906
QAN,20141009,1.385,1.4,1.38,1.395,12847482
QAN,20141010,1.355,1.375,1.335,1.35,23861224
QAN,20141013,1.32,1.327,1.285,1.3,11805398
QAN,20141014,1.27,1.3,1.25,1.285,37391771
QAN,20141015,1.285,1.34,1.28,1.335,11806020
QAN,20141016,1.305,1.325,1.287,1.32,10527834
QAN,20141017,1.315,1.355,1.315,1.33,10466721
QAN,20141020,1.335,1.35,1.315,1.34,7969418
QAN,20141021,1.34,1.37,1.335,1.36,14100118
QAN,20141022,1.38,1.402,1.37,1.385,17995130
QAN,20141023,1.375,1.415,1.37,1.375,8522903
QAN,20141024,1.4,1.435,1.39,1.425,33474102
QAN,20141027,1.465,1.505,1.465,1.5,28943486
